Date,Day,Month,Weekday
2016-03-12,12,3,Saturday
2016-03-13,13,3,Sunday
2016-03-14,14,3,Monday
2016-03-15,15,3,Tuesday
2016-03-16,16,3,Wednesday
2016-03-17,17,3,Thursday
2016-03-18,18,3,Friday
2016-03-19,19,3,Saturday
2016-03-20,20,3,Sunday
2016-03-21,21,3,Monday
2016-03-22,22,3,Tuesday
2016-03-23,23,3,Wednesday
2016-03-24,24,3,Thursday
2016-03-25,25,3,Friday
2016-03-26,26,3,Saturday
2016-03-27,27,3,Sunday
2016-03-28,28,3,Monday
2016-03-29,29,3,Tuesday
2016-03-30,30,3,Wednesday
2016-03-31,31,3,Thursday
2016-04-01,1,4,Friday
2016-04-02,2,4,Saturday
2016-04-03,3,4,Sunday
2016-04-04,4,4,Monday
2016-04-05,5,4,Tuesday
2016-04-06,6,4,Wednesday
2016-04-07,7,4,Thursday
2016-04-08,8,4,Friday
2016-04-09,9,4,Saturday
2016-04-10,10,4,Sunday
2016-04-11,11,4,Monday
2016-04-12,12,4,Tuesday
2016-04-13,13,4,Wednesday
2016-04-14,14,4,Thursday
2016-04-15,15,4,Friday
2016-04-16,16,4,Saturday
2016-04-17,17,4,Sunday
2016-04-18,18,4,Monday
2016-04-19,19,4,Tuesday
2016-04-20,20,4,Wednesday
2016-04-21,21,4,Thursday
2016-04-22,22,4,Friday
2016-04-23,23,4,Saturday
2016-04-24,24,4,Sunday
2016-04-25,25,4,Monday
2016-04-26,26,4,Tuesday
2016-04-27,27,4,Wednesday
2016-04-28,28,4,Thursday
2016-04-29,29,4,Friday
2016-04-30,30,4,Saturday
2016-05-01,1,5,Sunday
2016-05-02,2,5,Monday
2016-05-03,3,5,Tuesday
2016-05-04,4,5,Wednesday
2016-05-05,5,5,Thursday
2016-05-06,6,5,Friday
2016-05-07,7,5,Saturday
2016-05-08,8,5,Sunday
2016-05-09,9,5,Monday
2016-05-10,10,5,Tuesday
2016-05-11,11,5,Wednesday
2016-05-12,12,5,Thursday
